Namespace,Key,SourceString,Comment
Achievement,ACHIEVEMENT_NAME_COMBAT_MONSTER_SLAYER,"Monster Slayer","Achievement name"
Achievement,ACHIEVEMENT_NAME_COMBAT_BOSS_BREAKER,"Boss Breaker","Achievement name"
Achievement,ACHIEVEMENT_NAME_COMBAT_TOWER_CLIMBER,"Tower Climber","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_LEVEL_PEAK,"Level Peak","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_STAGE_CLEAR,"Stage Clear","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_REBIRTH_CYCLE,"Rebirth Cycle","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_TRANSCEND_PATH,"Transcend Path","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_ENHANCER,"Gear Enhancer","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_PEAK_LEVEL,"Peak Enhancement","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_COLLECTOR,"Gear Collector","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_GOLD_EARNER,"Gold Earner","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_GOLD_SINK,"Gold Sink","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_SHOP_ROLLS,"Shop Regular","Achievement name"
Achievement,ACHIEVEMENT_NAME_SKILL_RANK_UPS,"Skill Training","Achievement name"
Achievement,ACHIEVEMENT_NAME_SKILL_RANK_PEAK,"Skill Mastery","Achievement name"
Achievement,ACHIEVEMENT_NAME_PET_FEEDER,"Pet Care","Achievement name"
Achievement,ACHIEVEMENT_NAME_PET_LEVEL_PEAK,"Pet Bond","Achievement name"
Achievement,ACHIEVEMENT_NAME_QUEST_HELPER,"Quest Helper","Achievement name"
Achievement,ACHIEVEMENT_NAME_QUEST_SEASON_REWARDS,"Season Claimer","Achievement name"
Achievement,ACHIEVEMENT_NAME_COLLECTION_UNIQUE_ITEMS,"Unique Finds","Achievement name"
Achievement,ACHIEVEMENT_NAME_MISC_OFFLINE_CLAIMS,"Welcome Back","Achievement name"
Achievement,ACHIEVEMENT_NAME_MISC_DAYS_PLAYED,"Daily Rhythm","Achievement name"
