Namespace,Key,SourceString,Comment
Rune,RUNE_TYPE_NONE,"None","Rune type"
Rune,RUNE_TYPE_PHYS_ATK,"Physical Attack","Rune type"
Rune,RUNE_TYPE_MAGIC_ATK,"Magic Attack","Rune type"
Rune,RUNE_TYPE_PHYS_DEF,"Physical Defense","Rune type"
Rune,RUNE_TYPE_MAGIC_DEF,"Magic Defense","Rune type"
Rune,RUNE_TYPE_HP,"HP","Rune type"
Rune,RUNE_TYPE_CRIT_DAMAGE,"Critical Damage","Rune type"
Rune,RUNE_TYPE_GOLD_FIND,"Gold Find","Rune type"
Rune,RUNE_TYPE_EXP_BOOST,"EXP Boost","Rune type"
Rune,RUNE_TYPE_OFFLINE_EFF,"Offline Efficiency","Rune type"
Rune,RUNE_TYPE_CLASS_MASTERY,"Class Mastery","Rune type"
Rune,RUNE_PANEL_TITLE,"Runes","Rune HUD"
Rune,RUNE_ESSENCE_FORMAT,"Rune Essence {Amount}","Rune HUD"
Rune,RUNE_SHOP_COST_FORMAT,"Roll Cost {Cost} Gold","Rune HUD"
Rune,RUNE_SHOP_ROLL_BUTTON,"Roll Rune","Rune HUD"
Rune,RUNE_STATUS_READY,"Ready","Rune HUD"
Rune,RUNE_STATUS_NEED_GOLD,"Need Gold","Rune HUD"
Rune,RUNE_OWNED_EMPTY,"No runes owned","Rune HUD"
Rune,RUNE_SLOT_FORMAT,"Slot {Slot}","Rune HUD"
Rune,RUNE_LEVEL_FORMAT,"+{Level}","Rune HUD"
Rune,RUNE_VALUE_PERCENT_FORMAT,"+{Percent}%","Rune HUD"
Rune,RUNE_ENHANCE_PREVIEW_FORMAT,"Next +{CurrentPercent}% -> +{NextPercent}%","Rune HUD"
Rune,RUNE_ENHANCE_COST_FORMAT,"Enhance: Essence {Essence} / Gold {Gold}","Rune HUD"
Rune,RUNE_DISENCHANT_REFUND_FORMAT,"Disenchant: Essence +{Essence}","Rune HUD"
Rune,RUNE_STATUS_EQUIPPED,"Equipped","Rune HUD"
Rune,RUNE_STATUS_SELECT_READY,"Selected rune ready","Rune HUD"
Rune,RUNE_STATUS_SELECT_REQUIRED,"Select a rune","Rune HUD"
Rune,RUNE_SLOT_EMPTY,"Empty","Rune HUD"
Rune,RUNE_ACTION_UNEQUIP,"Unequip","Rune action"
Rune,RUNE_ACTION_EQUIP,"Equip","Rune action"
Rune,RUNE_ACTION_SELECTED,"Selected","Rune action"
Rune,RUNE_ACTION_SELECT,"Select","Rune action"
Rune,RUNE_ACTION_ENHANCE,"Enhance","Rune action"
Rune,RUNE_ACTION_DISENCHANT,"Disenchant","Rune action"
Rune,RUNE_CLASS_SLOT_TITLE,"Class Rune","Class rune HUD"
Rune,RUNE_CLASS_SLOT_EMPTY,"No class rune","Class rune HUD"
Rune,RUNE_CLASS_CRAFT_BUTTON,"Craft Class Rune","Class rune HUD"
Rune,RUNE_CLASS_CRAFT_COST_FORMAT,"Craft: Essence {Essence}","Class rune HUD"
Rune,RUNE_CLASS_MASTERY_FORMAT,"{Class} Mastery","Class rune HUD"
Rune,RUNE_CLASS_MISMATCH,"Class mismatch","Class rune HUD"
Rune,RUNE_SET_OFFENSE,"Offense","Rune set"
Rune,RUNE_SET_BASTION,"Bastion","Rune set"
Rune,RUNE_SET_VITALITY,"Vitality","Rune set"
Rune,RUNE_SET_FORTUNE,"Fortune","Rune set"
Rune,RUNE_SET_TITLE,"Rune Sets","Rune set HUD"
Rune,RUNE_SET_COUNT_FORMAT,"{Set} {Count}/6","Rune set HUD"
Rune,RUNE_SET_TIER_FORMAT,"{Tier}-Set Active","Rune set HUD"
Rune,RUNE_SET_NONE,"No set","Rune set HUD"
Rune,RUNE_SET_NEXT_FORMAT,"Next {Tier}-Set: {Needed} more","Rune set HUD"
Rune,RUNE_SET_COMPLETE,"6-Set Complete","Rune set HUD"
Rune,RUNE_SET_BONUS_NONE,"No active bonus","Rune set HUD"
Rune,RUNE_SET_BONUS_DUAL_FORMAT,"{StatA} +{Percent}% / {StatB} +{Percent}%","Rune set HUD"
Rune,RUNE_SET_BONUS_TRIPLE_FORMAT,"{StatA} +{Percent}% / {StatB} +{Percent}% / {StatC} +{Percent}%","Rune set HUD"
Rune,RUNE_CODEX_TITLE,"Rune Codex","Rune codex HUD"
Rune,RUNE_CODEX_PROGRESS_FORMAT,"Codex {Unlocked}/{Total}","Rune codex HUD"
Rune,RUNE_CODEX_ROW_BONUS_FORMAT,"{Rarity} Row Bonus +{Percent}%","Rune codex HUD"
Rune,RUNE_CODEX_CORE_CATEGORY_COMPLETE,"Core Complete","Rune codex HUD"
Rune,RUNE_CODEX_UTIL_CATEGORY_COMPLETE,"Util Complete","Rune codex HUD"
Rune,RUNE_CODEX_CORE_CATEGORY_PROGRESS_FORMAT,"Core {Unlocked}/{Total}","Rune codex HUD"
Rune,RUNE_CODEX_UTIL_CATEGORY_PROGRESS_FORMAT,"Util {Unlocked}/{Total}","Rune codex HUD"
Rune,RUNE_CODEX_CORE_BONUS_FORMAT,"Core +{Percent}%","Rune codex HUD"
Rune,RUNE_CODEX_UTIL_CAP_FORMAT,"Util Cap +{Percent}%","Rune codex HUD"
Rune,RUNE_CODEX_CELL_LOCKED,"Locked","Rune codex HUD"
Rune,RUNE_CODEX_CELL_UNLOCKED,"Unlocked","Rune codex HUD"
