Namespace,Key,SourceString,Comment
Skill,heavy_strike,"Heavy Strike","Warrior skill"
Skill,whirlwind,"Whirlwind","Warrior skill"
Skill,shield_up,"Shield Up","Warrior skill"
Skill,charge,"Charge","Warrior skill"
Skill,weapon_mastery,"Weapon Mastery","Warrior skill"
Skill,toughness,"Toughness","Warrior skill"
Skill,berserkers_fury,"Berserker's Fury","Warrior ultimate"
Skill,arcane_bolt,"Arcane Bolt","Mage skill"
Skill,chain_lightning,"Chain Lightning","Mage skill"
Skill,mana_shield,"Mana Shield","Mage skill"
Skill,meteor,"Meteor","Mage skill"
Skill,spell_mastery,"Spell Mastery","Mage skill"
Skill,mana_flow,"Mana Flow","Mage skill"
Skill,arcane_overload,"Arcane Overload","Mage ultimate"
Skill,precision_shot,"Precision Shot","Archer skill"
Skill,arrow_rain,"Arrow Rain","Archer skill"
Skill,focus,"Focus","Archer skill"
Skill,piercing_arrow,"Piercing Arrow","Archer skill"
Skill,critical_eye,"Critical Eye","Archer skill"
Skill,quick_draw,"Quick Draw","Archer skill"
Skill,eagle_eye,"Eagle Eye","Archer ultimate"
