Namespace,Key,SourceString,Comment
UI,HUD_HP_FORMAT,"HP {Current} / {Max}","HUD health"
UI,HUD_EXP_FORMAT,"EXP {Current} / {Next}","HUD experience"
UI,HUD_GOLD_FORMAT,"Gold {Amount}","HUD gold"
UI,HUD_LEVEL_FORMAT,"Lv. {Level}","HUD level"
UI,HUD_NO_WEAPON,"⚔ No weapon","Equipment HUD"
UI,HUD_WEAPON_FORMAT,"⚔ {Name} ({Rarity}, ATK+{Attack})","Equipment HUD"
UI,HUD_ARMOR_SUMMARY_FORMAT,"🛡 Armor {Count}/7 slots (DEF+{Defense}, HP+{Hp})","Equipment HUD"
UI,QUEST_TYPE_MAIN,"Main","Quest type"
UI,QUEST_TYPE_DAILY,"Daily","Quest type"
UI,QUEST_LOG_TITLE,"Quests","Quest panel"
UI,QUEST_LOG_SHORTCUT_CLOSE,"Q Close","Quest panel"
UI,QUEST_LOG_EMPTY,"No active quests","Quest panel"
UI,QUEST_PROGRESS_FORMAT,"Progress {Current} / {Target}","Quest progress"
UI,QUEST_REWARD_FORMAT,"Reward: Gold {Gold} / EXP {Exp}","Quest reward"
UI,ACTION_CLAIM,"Claim","Common action"
UI,ACTION_CLAIMED,"Done","Common action"
UI,ACTION_IN_PROGRESS,"In Progress","Common action"
UI,ACTION_RECEIVE,"Receive","Common action"
UI,ACTION_LOCKED,"Locked","Common action"
UI,ACTION_EQUIP,"Equip","Pet action"
UI,ACTION_EQUIPPED,"Equipped","Pet action"
UI,OFFLINE_REWARD_TITLE,"Offline Rewards","Offline reward modal"
UI,OFFLINE_REWARD_ELAPSED_FORMAT,"Elapsed {Elapsed}","Offline reward modal"
UI,REWARD_GOLD_PLUS_FORMAT,"Gold +{Amount}","Reward"
UI,REWARD_EXP_PLUS_FORMAT,"EXP +{Amount}","Reward"
UI,PET_BONUS_GOLD_FORMAT,"Gold +{Percent}","Pet bonus"
UI,PET_BONUS_DROP_FORMAT,"Drop +{Percent}","Pet bonus"
UI,SEASON_REWARD_GOLD_FORMAT,"Reward: Gold +{Amount}","Season reward"
UI,SEASON_REWARD_EXP_FORMAT,"Reward: EXP +{Amount}","Season reward"
UI,NONE_DASH,"-","Empty value"
UI,REBIRTH_TITLE,"Rebirth","Rebirth panel"
UI,REBIRTH_STATUS_READY,"Rebirth Ready","Rebirth panel"
UI,REBIRTH_STATUS_LOCKED,"Requirements Unmet","Rebirth panel"
UI,REBIRTH_BOSS_DONE,"Boss Defeated","Rebirth panel"
UI,REBIRTH_BOSS_REQUIRED,"Defeat Boss","Rebirth panel"
UI,REBIRTH_LEVEL_DONE,"Level 100 reached","Rebirth panel"
UI,REBIRTH_LEVEL_FORMAT,"Level {Level} / 100","Rebirth panel"
UI,REBIRTH_COUNT_FORMAT,"Rebirth {Count}","Rebirth panel"
UI,REBIRTH_BONUS_FORMAT,"Permanent bonus {Points} points","Rebirth panel"
UI,REBIRTH_NEXT_BONUS_FORMAT,"Next rebirth +{Points} points","Rebirth panel"
UI,REBIRTH_BUTTON,"Start Rebirth","Rebirth panel"
UI,CLASS_PANEL_TITLE,"Starting Class","Class selection"
UI,CLASS_PANEL_SUBTITLE,"Warrior/Mage/Archer","Class selection"
UI,CLASS_WARRIOR_NAME,"Warrior","Class selection"
UI,CLASS_WARRIOR_ROLE,"Melee Defender","Class selection"
UI,CLASS_MAGE_NAME,"Mage","Class selection"
UI,CLASS_MAGE_ROLE,"Ranged Caster","Class selection"
UI,CLASS_ARCHER_NAME,"Archer","Class selection"
UI,CLASS_ARCHER_ROLE,"Critical Ranged","Class selection"
UI,CLASS_SELECTED,"SELECTED","Class selection"
UI,CLASS_SELECT,"SELECT","Class selection"
UI,SKILL_READY,"READY","Skill HUD"
UI,SKILL_COOLDOWN_FORMAT,"{Seconds}s","Skill HUD"
UI,SKILL_POINTS_FORMAT,"Skill Points {Points}","Skill HUD"
UI,SKILL_RANK_FORMAT,"Rank {Rank}/{MaxRank}","Skill HUD"
UI,ULTIMATE_READY,"ULTIMATE READY","Ultimate HUD"
UI,ULTIMATE_CHARGE_FORMAT,"ULTIMATE {Percent}%","Ultimate HUD"
UI,PET_PANEL_TITLE,"Pet","Pet panel"
UI,PET_EQUIPPED_NONE,"Equipped: None","Pet panel"
UI,PET_EQUIPPED_FORMAT,"Equipped: {PetId}","Pet panel"
UI,SEASON_PASS_TITLE,"Season Pass","Season panel"
UI,SEASON_PROGRESS_FORMAT,"Tier {Reached} / {Total}","Season panel"
UI,SEASON_TIER_FORMAT,"Tier {Tier}","Season panel"
UI,SEASON_REQUIREMENT_FORMAT,"{Tokens} Tokens","Season panel"
UI,SEASON_CLAIMED,"Claimed","Season panel"
