Namespace,Key,SourceString,Comment
Achievement,ACHIEVEMENT_NAME_COMBAT_MONSTER_SLAYER,"몬스터 사냥꾼","Achievement name"
Achievement,ACHIEVEMENT_NAME_COMBAT_BOSS_BREAKER,"보스 격파자","Achievement name"
Achievement,ACHIEVEMENT_NAME_COMBAT_TOWER_CLIMBER,"탑 등반가","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_LEVEL_PEAK,"레벨 정점","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_STAGE_CLEAR,"스테이지 돌파","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_REBIRTH_CYCLE,"환생 순환","Achievement name"
Achievement,ACHIEVEMENT_NAME_PROGRESS_TRANSCEND_PATH,"초월의 길","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_ENHANCER,"장비 강화가","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_PEAK_LEVEL,"강화 정점","Achievement name"
Achievement,ACHIEVEMENT_NAME_GEAR_COLLECTOR,"장비 수집가","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_GOLD_EARNER,"골드 획득자","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_GOLD_SINK,"골드 소비자","Achievement name"
Achievement,ACHIEVEMENT_NAME_ECONOMY_SHOP_ROLLS,"상점 단골","Achievement name"
Achievement,ACHIEVEMENT_NAME_SKILL_RANK_UPS,"스킬 훈련","Achievement name"
Achievement,ACHIEVEMENT_NAME_SKILL_RANK_PEAK,"스킬 숙련","Achievement name"
Achievement,ACHIEVEMENT_NAME_PET_FEEDER,"펫 돌봄","Achievement name"
Achievement,ACHIEVEMENT_NAME_PET_LEVEL_PEAK,"펫 유대","Achievement name"
Achievement,ACHIEVEMENT_NAME_QUEST_HELPER,"퀘스트 조력자","Achievement name"
Achievement,ACHIEVEMENT_NAME_QUEST_SEASON_REWARDS,"시즌 보상 수령자","Achievement name"
Achievement,ACHIEVEMENT_NAME_COLLECTION_UNIQUE_ITEMS,"유니크 발견","Achievement name"
Achievement,ACHIEVEMENT_NAME_MISC_OFFLINE_CLAIMS,"돌아온 모험가","Achievement name"
Achievement,ACHIEVEMENT_NAME_MISC_DAYS_PLAYED,"일일 리듬","Achievement name"
