Namespace,Key,SourceString,Comment
Quest,main_ch1_001,"부서진 등불 찾기","메인 퀘스트"
Quest,main_ch1_002,"마을 들판 확보","메인 퀘스트"
Quest,main_ch1_003,"반복되는 메아리","메인 퀘스트"
Quest,main_ch1_004,"수호자의 흔적","메인 퀘스트"
Quest,main_ch1_005,"안개 군주의 관문","메인 퀘스트"
Quest,main_ch1_006,"관문 열쇠 단련","메인 퀘스트"
Quest,main_ch1_007,"첫 번째 봉인 파괴","메인 퀘스트"
Quest,main_ch2_001,"잿빛 길 진입","메인 퀘스트"
Quest,main_ch2_002,"잿불 폐허 조사","메인 퀘스트"
Quest,main_ch2_003,"감시 첨탑 도달","메인 퀘스트"
Quest,main_ch2_004,"환생으로 재단련","메인 퀘스트"
Quest,main_ch2_005,"잿불 감시자 격파","메인 퀘스트"
Quest,main_ch3_001,"균열 변경 진입","메인 퀘스트"
Quest,main_ch3_002,"그림자 단층 조사","메인 퀘스트"
Quest,main_ch3_003,"심연 관문을 위한 힘","메인 퀘스트"
Quest,main_ch3_004,"균열 봉화 점화","메인 퀘스트"
Quest,main_ch3_005,"암영 군단 침묵","메인 퀘스트"
Quest,main_ch3_006,"차원 군주 격파","메인 퀘스트"
Quest,daily_kill_monsters,"일일 사냥","일일 퀘스트"
Quest,daily_claim_offline,"휴식 보상 수령","일일 퀘스트"
Quest,daily_enhance_gear,"장비 단련","일일 퀘스트"
Quest,daily_reach_level,"수련 진척","일일 퀘스트"
Quest,daily_spend_gold,"시장 순환","일일 퀘스트"
Quest,daily_roll_gear_shop,"장비 상점 시도","일일 퀘스트"
Quest,daily_feed_pet,"동료 먹이 주기","일일 퀘스트"
Quest,weekly_defeat_bosses,"주간 보스 격파자","주간 퀘스트"
Quest,weekly_rebirth,"주간 환생","주간 퀘스트"
Quest,weekly_climb_tower,"주간 탑 돌파","주간 퀘스트"
Quest,weekly_spend_gold,"주간 골드 소모","주간 퀘스트"
