Namespace,Key,SourceString,Comment
Rune,RUNE_TYPE_NONE,"없음","룬 타입"
Rune,RUNE_TYPE_PHYS_ATK,"물리 공격","룬 타입"
Rune,RUNE_TYPE_MAGIC_ATK,"마법 공격","룬 타입"
Rune,RUNE_TYPE_PHYS_DEF,"물리 방어","룬 타입"
Rune,RUNE_TYPE_MAGIC_DEF,"마법 방어","룬 타입"
Rune,RUNE_TYPE_HP,"체력","룬 타입"
Rune,RUNE_TYPE_CRIT_DAMAGE,"치명타 피해","룬 타입"
Rune,RUNE_TYPE_GOLD_FIND,"골드 획득","룬 타입"
Rune,RUNE_TYPE_EXP_BOOST,"경험치 증가","룬 타입"
Rune,RUNE_TYPE_OFFLINE_EFF,"오프라인 효율","룬 타입"
Rune,RUNE_TYPE_CLASS_MASTERY,"직업 숙련","룬 타입"
Rune,RUNE_PANEL_TITLE,"룬","룬 HUD"
Rune,RUNE_ESSENCE_FORMAT,"룬 정수 {Amount}","룬 HUD"
Rune,RUNE_SHOP_COST_FORMAT,"뽑기 비용 골드 {Cost}","룬 HUD"
Rune,RUNE_SHOP_ROLL_BUTTON,"룬 뽑기","룬 HUD"
Rune,RUNE_STATUS_READY,"준비 완료","룬 HUD"
Rune,RUNE_STATUS_NEED_GOLD,"골드 부족","룬 HUD"
Rune,RUNE_OWNED_EMPTY,"보유 룬 없음","룬 HUD"
Rune,RUNE_SLOT_FORMAT,"슬롯 {Slot}","룬 HUD"
Rune,RUNE_LEVEL_FORMAT,"+{Level}","룬 HUD"
Rune,RUNE_VALUE_PERCENT_FORMAT,"+{Percent}%","룬 HUD"
Rune,RUNE_ENHANCE_PREVIEW_FORMAT,"다음 +{CurrentPercent}% -> +{NextPercent}%","룬 HUD"
Rune,RUNE_ENHANCE_COST_FORMAT,"강화: 정수 {Essence} / 골드 {Gold}","룬 HUD"
Rune,RUNE_DISENCHANT_REFUND_FORMAT,"분해: 정수 +{Essence}","룬 HUD"
Rune,RUNE_STATUS_EQUIPPED,"장착 중","룬 HUD"
Rune,RUNE_STATUS_SELECT_READY,"선택 룬 장착 가능","룬 HUD"
Rune,RUNE_STATUS_SELECT_REQUIRED,"룬 선택 필요","룬 HUD"
Rune,RUNE_SLOT_EMPTY,"비어 있음","룬 HUD"
Rune,RUNE_ACTION_UNEQUIP,"해제","룬 액션"
Rune,RUNE_ACTION_EQUIP,"장착","룬 액션"
Rune,RUNE_ACTION_SELECTED,"선택됨","룬 액션"
Rune,RUNE_ACTION_SELECT,"선택","룬 액션"
Rune,RUNE_ACTION_ENHANCE,"강화","룬 액션"
Rune,RUNE_ACTION_DISENCHANT,"분해","룬 액션"
Rune,RUNE_CLASS_SLOT_TITLE,"직업 룬","직업 룬 HUD"
Rune,RUNE_CLASS_SLOT_EMPTY,"직업 룬 없음","직업 룬 HUD"
Rune,RUNE_CLASS_CRAFT_BUTTON,"직업 룬 제작","직업 룬 HUD"
Rune,RUNE_CLASS_CRAFT_COST_FORMAT,"제작: 정수 {Essence}","직업 룬 HUD"
Rune,RUNE_CLASS_MASTERY_FORMAT,"{Class} 숙련","직업 룬 HUD"
Rune,RUNE_CLASS_MISMATCH,"직업 불일치","직업 룬 HUD"
Rune,RUNE_CODEX_TITLE,"룬 도감","룬 도감 HUD"
Rune,RUNE_CODEX_PROGRESS_FORMAT,"도감 {Unlocked}/{Total}","룬 도감 HUD"
Rune,RUNE_CODEX_ROW_BONUS_FORMAT,"{Rarity} 행 보너스 +{Percent}%","룬 도감 HUD"
Rune,RUNE_CODEX_CORE_CATEGORY_COMPLETE,"코어 완료","룬 도감 HUD"
Rune,RUNE_CODEX_UTIL_CATEGORY_COMPLETE,"유틸 완료","룬 도감 HUD"
Rune,RUNE_CODEX_CORE_CATEGORY_PROGRESS_FORMAT,"코어 {Unlocked}/{Total}","룬 도감 HUD"
Rune,RUNE_CODEX_UTIL_CATEGORY_PROGRESS_FORMAT,"유틸 {Unlocked}/{Total}","룬 도감 HUD"
Rune,RUNE_CODEX_CORE_BONUS_FORMAT,"코어 +{Percent}%","룬 도감 HUD"
Rune,RUNE_CODEX_UTIL_CAP_FORMAT,"유틸 캡 +{Percent}%","룬 도감 HUD"
Rune,RUNE_CODEX_CELL_LOCKED,"잠김","룬 도감 HUD"
Rune,RUNE_CODEX_CELL_UNLOCKED,"해금","룬 도감 HUD"
Rune,RUNE_SET_OFFENSE,"공격","룬 세트"
Rune,RUNE_SET_BASTION,"수호","룬 세트"
Rune,RUNE_SET_VITALITY,"활력","룬 세트"
Rune,RUNE_SET_FORTUNE,"행운","룬 세트"
Rune,RUNE_SET_TITLE,"룬 세트","룬 세트 HUD"
Rune,RUNE_SET_COUNT_FORMAT,"{Set} {Count}/6","룬 세트 HUD"
Rune,RUNE_SET_TIER_FORMAT,"{Tier}세트 활성","룬 세트 HUD"
Rune,RUNE_SET_NONE,"세트 없음","룬 세트 HUD"
Rune,RUNE_SET_NEXT_FORMAT,"다음 {Tier}세트: {Needed}개 필요","룬 세트 HUD"
Rune,RUNE_SET_COMPLETE,"6세트 완성","룬 세트 HUD"
Rune,RUNE_SET_BONUS_NONE,"활성 보너스 없음","룬 세트 HUD"
Rune,RUNE_SET_BONUS_DUAL_FORMAT,"{StatA} +{Percent}% / {StatB} +{Percent}%","룬 세트 HUD"
Rune,RUNE_SET_BONUS_TRIPLE_FORMAT,"{StatA} +{Percent}% / {StatB} +{Percent}% / {StatC} +{Percent}%","룬 세트 HUD"
Rune,RUNE_ACTION_SECTION_TITLE,"선택 룬 액션","룬 액션 HUD"
Rune,RUNE_ACTION_NO_SELECTION,"룬을 선택하세요","룬 액션 HUD"
Rune,RUNE_ACTION_REROLL_SET,"세트 리롤","룬 액션 HUD"
Rune,RUNE_ACTION_UPGRADE_RARITY,"등급 상승","룬 액션 HUD"
Rune,RUNE_ACTION_TRANSFER,"전송","룬 액션 HUD"
Rune,RUNE_TRANSFER_CYCLE,"대상 변경","룬 액션 HUD"
Rune,RUNE_CURRENT_SET_FORMAT,"현재 세트: {Set}","룬 액션 HUD"
Rune,RUNE_REROLL_COST_FORMAT,"리롤: 정수 {Essence}","룬 액션 HUD"
Rune,RUNE_UPGRADE_INFO_FORMAT,"{Next} 시도 {Chance}% / 정수 {Essence} 골드 {Gold}","룬 액션 HUD"
Rune,RUNE_UPGRADE_MAX,"최고 등급","룬 액션 HUD"
Rune,RUNE_TRANSFER_TARGET_FORMAT,"대상: {Type} {Rarity} +{Level}","룬 액션 HUD"
Rune,RUNE_TRANSFER_NO_TARGET,"대상 룬 없음","룬 액션 HUD"
Rune,RUNE_TRANSFER_COST_FORMAT,"전송: 정수 {Essence}","룬 액션 HUD"
Rune,RUNE_FEEDBACK_REROLL_DONE,"세트 리롤 완료","룬 액션 피드백"
Rune,RUNE_FEEDBACK_UPGRADE_SUCCESS,"등급 상승 성공!","룬 액션 피드백"
Rune,RUNE_FEEDBACK_UPGRADE_FAIL,"등급 상승 실패","룬 액션 피드백"
Rune,RUNE_FEEDBACK_TRANSFER_DONE,"강화 전송 완료","룬 액션 피드백"
Rune,RUNE_FEEDBACK_FAILED,"실행할 수 없음","룬 액션 피드백"
