Namespace,Key,SourceString,Comment
Skill,heavy_strike,"강타","전사 스킬"
Skill,whirlwind,"회전베기","전사 스킬"
Skill,shield_up,"방패 올리기","전사 스킬"
Skill,charge,"돌진","전사 스킬"
Skill,weapon_mastery,"무기 숙련","전사 스킬"
Skill,toughness,"강인함","전사 스킬"
Skill,berserkers_fury,"광전사의 분노","전사 궁극기"
Skill,arcane_bolt,"비전 화살","마법사 스킬"
Skill,chain_lightning,"연쇄 번개","마법사 스킬"
Skill,mana_shield,"마나 보호막","마법사 스킬"
Skill,meteor,"유성 낙하","마법사 스킬"
Skill,spell_mastery,"주문 숙련","마법사 스킬"
Skill,mana_flow,"마나 흐름","마법사 스킬"
Skill,arcane_overload,"비전 과부하","마법사 궁극기"
Skill,precision_shot,"정밀 사격","궁수 스킬"
Skill,arrow_rain,"화살비","궁수 스킬"
Skill,focus,"집중","궁수 스킬"
Skill,piercing_arrow,"관통 화살","궁수 스킬"
Skill,critical_eye,"치명안","궁수 스킬"
Skill,quick_draw,"속사","궁수 스킬"
Skill,eagle_eye,"매의 눈","궁수 궁극기"
