Namespace,Key,SourceString,Comment
Story,STORY_C01_M01_INTRO_01,"루미나에 다시 온 걸 환영합니다 {PlayerName}. 그늘은 오늘도 남긴 등불을 모두 꺼뜨리려 해요.","챕터1 1-1 진입"
Story,STORY_C01_M01_INTRO_02,"마을 밖 초원부터 확인해 주세요. 작은 이상도 지금은 그냥 넘기면 안 됩니다.","튜토리얼 목표"
Story,STORY_C01_M01_CLEAR_01,"등불이 다시 켜졌군요. 모험가님은 생각보다 훨씬 믿음직합니다.","1-1 완료"
Story,STORY_C01_M02_INTRO_01,"발자국의 길이 같은 자리로 돌아옵니다. 표식을 따라가면 원인을 찾을 수 있을 거예요.","1-2 진입"
Story,STORY_C01_M02_CLEAR_01,"길이 열렸습니다. 안개가 틈을 남긴 것처럼 흔적이 이어져 있군요.","1-2 완료"
Story,STORY_C01_M03_INTRO_01,"숲 안쪽은 바람도 조심합니다. 왼쪽에서 들리는 소리를 오래 따라가지 마세요.","1-3 진입"
Story,STORY_C01_M03_CLEAR_01,"균열의 파편이 맞습니다. 이제부터는 검은 빛을 그냥 지나치지 마세요.","1-3 완료"
Story,STORY_C01_M04_INTRO_01,"비석의 문양이 깨어났습니다. 수호자가 오래 말하지 못한 밤이 남아 있어요.","1-4 진입"
Story,STORY_C01_M04_CLEAR_01,"기억은 사라지지 않습니다. 다만 남긴 마음을 누군가 알아볼 때까지 기다릴 뿐이죠.","1-4 완료"
Story,STORY_C01_M05_INTRO_01,"수호령의 빛이 왼쪽으로 흘러갑니다. 안개 군주의 둥지가 가까워졌어요.","1-5 진입"
Story,STORY_C01_M05_BOSS_01,"그늘이 모였습니다. 부서진 빛이 길을 막는다면 길 끝의 날개가 나타납니다.","보스 시작"
Story,STORY_C01_M05_BOSS_02,"길이 막혔다면 제가 먼저 열어 보겠습니다.","주인공 응답"
Story,STORY_C01_M05_CLEAR_01,"루미나의 그늘이 물러났습니다. 하지만 균열은 수호자에게서 시작된 게 아니었어요.","챕터1 완료"
Story,STORY_C01_M05_CLEAR_02,"오늘 걸음은 다음 빛의 시작입니다. 다음 그늘 아래에서 다시 만나죠 모험가님.","챕터2 연결"
Story,STORY_C01_REBIRTH_HINT_01,"이 기억은 처음 걷는 길이 아닌 것 같아요. 달그림자계가 당신을 다시 부르고 있습니다.","첫 환생 암시"
Story,STORY_CLASS_WARRIOR_INTRO_01,"앞에서 버티겠습니다. 길이 막히면 제가 먼저 열면 돼요.","전사 분위기"
Story,STORY_CLASS_MAGE_INTRO_01,"균열의 흐름이 보입니다. 규칙을 읽으면 마력도 길을 냅니다.","마법사 분위기"
Story,STORY_CLASS_ARCHER_INTRO_01,"바람이 먼저 흔들렸습니다. 흔적을 따라가면 정답보다 먼저 닿을 수 있어요.","궁수 분위기"
Story,STORY_C03_M01_INTRO_01,"달빛이 닿지 않는 길입니다. 그림자가 당신보다 먼저 걷더라도 따라가지 마세요.","이리스 3-1 진입"
Story,STORY_C03_M01_CLEAR_01,"반사 등불이 다시 켜졌습니다. 이 길은 닫힌 문이 아니라 누군가 남긴 초대였군요.","이리스 3-1 완료"
Story,STORY_C03_M02_INTRO_01,"회랑의 위아래가 바뀌었습니다. 기록은 무너졌지만 순서는 아직 남아 있습니다.","라온 3-2 진입"
Story,STORY_C03_M02_CLEAR_01,"마지막 진입 기록을 확인했습니다. 은등 연구회는 균열을 막기보다 오래 지켜봤습니다.","라온 3-2 완료"
Story,STORY_C03_M03_INTRO_01,"이곳에서는 소리보다 시선이 먼저 닿습니다. 관측 렌즈를 부수면 침묵도 길을 내겠죠.","이리스 3-3 진입"
Story,STORY_C03_M03_CLEAR_01,"관측소의 침묵이 풀렸습니다. 월영의 사도 안에서도 같은 답을 믿지 않는 이들이 있습니다.","이리스 3-3 완료"
Story,STORY_C03_M04_INTRO_01,"이 계단을 기억합니다. 처음 보는 장소인데도 발끝이 먼저 알고 있습니다.","주인공 3-4 진입"
Story,STORY_C03_M04_CLEAR_01,"환생의 기억과 실제 장소가 겹쳤습니다. 모험가님은 이 사건의 바깥에만 있던 분이 아닙니다.","이리스 3-4 완료"
Story,STORY_C03_M05_ELITE_01,"돌아간 기억은 다시 문을 찾는다. 문은 대답하지 않는다. 문은 버틴다.","어둠의 문지기 미니보스 시작"
Story,STORY_C03_M05_ELITE_02,"문이 버틴다면, 이번에는 제가 끝까지 밀어 보겠습니다.","주인공 미니보스 응답"
Story,STORY_C03_M05_CLEAR_01,"첫 봉인이 열렸습니다. 심연의 어둠은 사라진 것이 아니라 뒤로 물러난 것뿐입니다.","이리스 3-5 완료"
Story,STORY_C03_M06_INTRO_01,"Dark의 흐름이 짙습니다. 달빛 정화가 늦어져도 침착하게 균열의 결을 보세요.","라온 3-6 진입"
