Namespace,Key,SourceString,Comment
UI,HUD_HP_FORMAT,"HP {Current} / {Max}","HUD 체력"
UI,HUD_EXP_FORMAT,"EXP {Current} / {Next}","HUD 경험치"
UI,HUD_GOLD_FORMAT,"골드 {Amount}","HUD 골드"
UI,HUD_COMBAT_POWER_FORMAT,"전투력 {Amount}","HUD 전투력"
UI,TOWER_PANEL_TITLE,"무한의 탑","탑 HUD"
UI,TOWER_HIGHEST_FLOOR_FORMAT,"최고 {Floor}층","탑 HUD"
UI,TOWER_NEXT_CP_FORMAT,"다음 CP {Amount}","탑 HUD"
UI,TOWER_MILESTONE_MULTIPLIER_FORMAT,"영구 보너스 {Multiplier}","탑 HUD"
UI,TOWER_NEXT_MILESTONE_FORMAT,"다음 +2%: {Floor}층","탑 HUD"
UI,TOWER_STATUS_READY,"등반 가능","탑 HUD"
UI,TOWER_STATUS_NEED_CP,"전투력 부족","탑 HUD"
UI,TOWER_CLIMB_BUTTON,"등반","탑 HUD"
UI,TOWER_CLIMB_FEEDBACK_FORMAT,"{Floor}층 클리어! 골드 +{Gold}","탑 HUD"
UI,TOWER_CLIMB_BLOCKED,"전투력 부족","탑 HUD"
UI,HUD_LEVEL_FORMAT,"Lv. {Level}","HUD 레벨"
UI,HUD_NO_WEAPON,"⚔ 무기 없음","장비 HUD"
UI,HUD_WEAPON_FORMAT,"⚔ {Name} ({Rarity}, ATK+{Attack})","장비 HUD"
UI,HUD_ARMOR_SUMMARY_FORMAT,"🛡 방어구 {Count}/7 슬롯 (DEF+{Defense}, HP+{Hp})","장비 HUD"
UI,QUEST_TYPE_MAIN,"메인","퀘스트 타입"
UI,QUEST_TYPE_DAILY,"일일","퀘스트 타입"
UI,QUEST_LOG_TITLE,"퀘스트","퀘스트 패널"
UI,QUEST_LOG_SHORTCUT_CLOSE,"Q 닫기","퀘스트 패널"
UI,QUEST_LOG_EMPTY,"진행 중인 퀘스트 없음","퀘스트 패널"
UI,QUEST_PROGRESS_FORMAT,"진행 {Current} / {Target}","퀘스트 진행"
UI,QUEST_REWARD_FORMAT,"보상 골드 {Gold} / EXP {Exp}","퀘스트 보상"
UI,ACTION_CLAIM,"수령","공통 액션"
UI,ACTION_CLAIMED,"완료","공통 액션"
UI,ACTION_IN_PROGRESS,"진행","공통 액션"
UI,ACTION_RECEIVE,"받기","공통 액션"
UI,ACTION_LOCKED,"잠김","공통 액션"
UI,ACTION_EQUIP,"장착","펫 액션"
UI,ACTION_EQUIPPED,"장착됨","펫 액션"
UI,ACTION_FEED,"먹이기","펫 액션"
UI,OFFLINE_REWARD_TITLE,"오프라인 보상","오프라인 보상 모달"
UI,OFFLINE_REWARD_ELAPSED_FORMAT,"경과 시간 {Elapsed}","오프라인 보상 모달"
UI,REWARD_GOLD_PLUS_FORMAT,"골드 +{Amount}","보상"
UI,REWARD_EXP_PLUS_FORMAT,"EXP +{Amount}","보상"
UI,PET_BONUS_GOLD_FORMAT,"골드 +{Percent}","펫 보너스"
UI,PET_BONUS_DROP_FORMAT,"드롭 +{Percent}","펫 보너스"
UI,SEASON_REWARD_GOLD_FORMAT,"보상 골드 +{Amount}","시즌 보상"
UI,SEASON_REWARD_EXP_FORMAT,"보상 EXP +{Amount}","시즌 보상"
UI,NONE_DASH,"-","빈 값"
UI,REBIRTH_TITLE,"환생","환생 패널"
UI,REBIRTH_STATUS_READY,"환생 가능","환생 패널"
UI,REBIRTH_STATUS_LOCKED,"환생 조건 미달","환생 패널"
UI,REBIRTH_BOSS_DONE,"보스 격파 완료","환생 패널"
UI,REBIRTH_BOSS_REQUIRED,"보스 격파 필요","환생 패널"
UI,REBIRTH_LEVEL_DONE,"레벨 100 달성","환생 패널"
UI,REBIRTH_LEVEL_FORMAT,"레벨 {Level} / 100","환생 패널"
UI,REBIRTH_COUNT_FORMAT,"환생 {Count}회","환생 패널"
UI,REBIRTH_BONUS_FORMAT,"영구 보너스 {Points} 포인트","환생 패널"
UI,REBIRTH_NEXT_BONUS_FORMAT,"환생 진행 시 +{Points} 포인트","환생 패널"
UI,REBIRTH_PREVIEW_REWARD_FORMAT,"이번 환생 보상 +{Points} 포인트","환생 패널"
UI,REBIRTH_BUTTON,"환생 진행","환생 패널"
UI,TRANSCEND_TITLE,"초월","초월 패널"
UI,TRANSCEND_STATUS_READY,"초월 가능","초월 패널"
UI,TRANSCEND_STATUS_LOCKED,"초월 조건 미달","초월 패널"
UI,TRANSCEND_REQUIREMENT_FORMAT,"환생 {Rebirth} / {Threshold}","초월 패널"
UI,TRANSCEND_CURRENT_MULTIPLIER_FORMAT,"현재 배수 {Multiplier}","초월 패널"
UI,TRANSCEND_PREVIEW_MULTIPLIER_FORMAT,"초월 시 {Multiplier}","초월 패널"
UI,TRANSCEND_COUNT_FORMAT,"초월 {Count}회","초월 패널"
UI,TRANSCEND_BUTTON,"초월 진행","초월 패널"
